from_fua;to_fua;time;weight
1001;1116;0;69176965.99
1001;1711;0;20435400
1001;2663;0;8035482
1003;1118;0;220853.36
1003;114;0;5799.42
1003;1183;0;36976600
1003;1228;0;4472432.2
1003;143;0;292475
1003;1529;0;3864300
1003;2008;0;33400
1003;2702;0;1372495
1003;2787;0;14859
1003;310;0;97395386.84
1003;3147;0;2524873
1003;3222;0;33100
1003;4490;0;1058490
1003;4523;0;417480
1003;56;0;150000
1003;85;0;0
1003;878;0;335806.75
1003;952;0;297717.43
1006;469;0;0
1017;1132;0;199200
1017;1242;0;1102612
1017;1345;0;477500
1017;1445;0;236320
1017;165;0;698000
1017;279;0;6800
1017;2818;0;90000
1017;43;0;0
1017;481;0;102600
1017;54;0;91900
1017;624;0;1500
1017;687;0;1139700
1017;761;0;12284900
1017;893;0;799896
103;1003;0;5428200
103;1064;0;109127700
103;11;0;27500
103;1121;0;199600
103;114;0;436149
103;1160;0;71827966.08
103;1177;0;6500
103;1226;0;7118400
103;1228;0;1462100
103;1269;0;550472717.16
103;1286;0;163000
103;1287;0;30000
103;1309;0;209564
103;1372;0;50922600
103;1389;0;121489600
103;1397;0;6381000
103;1427;0;334970300
103;143;0;1794000
103;1445;0;352892853
103;148;0;105750
103;1496;0;180800
103;15;0;4477250
103;1524;0;45710300
103;1529;0;2410940.88
103;1531;0;2200
103;1589;0;1476500
103;1600;0;413529948.28
103;1623;0;308100
103;164;0;4935300
103;165;0;9635700
103;1656;0;233924.5
103;1680;0;14900
103;1690;0;305500
103;1711;0;8725430.5
103;1713;0;0
103;1761;0;4226600
103;1768;0;683700
103;1800;0;68160
103;1846;0;37325000
103;1877;0;17735400
103;1931;0;22875647.1
103;1934;0;15566200
103;1943;0;67971590
103;1961;0;1926600
103;2004;0;36165346.1
103;2037;0;11367702.61
103;2085;0;29777667.02
103;2114;0;1421600
103;2159;0;3718200
103;2186;0;1410012.24
103;2233;0;1344440
103;2242;0;47500
103;227;0;9476700
103;2304;0;281072.02
103;2305;0;600
103;2312;0;57616191
103;2374;0;408500
103;2381;0;32500
103;2399;0;0
103;2449;0;1652200
103;2515;0;65100
103;2573;0;323600
103;2593;0;17258000
103;2637;0;6200
103;2639;0;38661.3
103;2663;0;34535900
103;2702;0;1244529810.53
103;2710;0;20315830
103;2764;0;12762600
103;2765;0;36534100
103;2772;0;9251600
103;2787;0;-100
103;279;0;2803641.5
103;2832;0;1084606.6
103;2877;0;3852200
103;2891;0;1671100
103;2938;0;372025
103;296;0;165686700
103;2988;0;9032700
103;2993;0;4416000
103;3002;0;6823400
103;3041;0;1314500
103;3093;0;186030700
103;3099;0;1800
103;310;0;34181772.08
103;3106;0;1920
103;3147;0;289095540.15
103;315;0;0
103;3157;0;182004.16
103;3171;0;24039325
103;3200;0;9061600
103;3222;0;220704612.05
103;3259;0;6270482.2
103;329;0;1034300
103;3297;0;21635600
103;3300;0;9100
103;3302;0;5114700
103;3311;0;7400
103;3360;0;3760551.5
103;3442;0;12785400
103;3454;0;9631904
103;3490;0;60216300
103;3495;0;180748500
103;3502;0;49100
103;3539;0;215656666.49
103;3580;0;6760900
103;3583;0;1967700
103;3592;0;940700
103;361;0;6049200
103;3628;0;597300
103;3635;0;7853600
103;3667;0;5049700
103;3672;0;737500
103;3679;0;36754300
103;3713;0;160000
103;3718;0;88321104.94
103;3754;0;5103900
103;3759;0;2571300
103;3760;0;25300
103;3766;0;1794791
103;3793;0;10699400
103;3798;0;3310200
103;3799;0;102585800
103;386;0;12505970.41
103;388;0;1120000
103;3881;0;58050291.24
